available_bike_stands,temperature,hour,surface_pressure,apparent_temperature
6,14.6,17,988.1,13.5
9,13.0,18,988.7,12.0
4,11.8,19,988.7,10.8
3,11.9,20,989.0,10.0
1,10.2,21,989.8,8.4
2,10.1,22,989.9,8.1
0,11.0,23,990.3,9.5
4,11.1,0,990.3,9.0
7,11.4,1,990.2,9.2
7,10.8,2,990.2,8.7
5,10.6,3,990.0,8.4
5,10.1,4,989.9,7.7
8,10.5,5,989.6,8.1
11,10.5,6,989.9,8.0
22,11.8,7,989.9,9.7
11,13.5,8,990.6,11.6
18,15.5,9,990.3,13.5
22,16.7,10,989.8,14.8
22,18.6,13,987.2,16.0
22,19.2,14,986.1,15.9
17,18.7,15,985.4,15.7
11,18.2,16,985.1,15.5
12,17.0,17,984.5,15.1
11,13.4,18,984.7,12.0
10,11.8,19,984.7,10.3
7,10.8,20,984.3,9.1
2,10.2,21,983.9,8.5
0,9.5,22,983.4,7.7
0,8.0,23,983.4,6.2
2,7.8,0,982.7,6.0
1,7.7,1,982.1,6.0
0,6.9,2,981.4,5.0
0,6.1,3,980.3,4.6
0,6.8,4,979.9,5.5
0,6.3,5,979.9,4.7
5,8.4,7,979.6,7.0
7,10.8,8,978.5,9.3
11,14.2,9,977.7,12.8
13,17.1,10,976.6,15.7
11,17.5,11,975.7,15.8
13,19.1,12,975.0,17.6
14,19.7,14,974.3,15.7
14,19.1,15,973.5,15.9
12,17.9,16,973.2,15.1
14,16.4,17,973.9,13.4
13,8.8,18,977.0,3.5
11,7.0,19,977.5,2.7
9,6.8,20,979.9,2.5
9,6.2,21,980.2,3.1
7,6.0,22,979.4,3.8
5,5.9,23,979.7,3.9
3,4.6,0,979.5,1.5
4,3.5,1,979.9,0.7
5,3.7,2,979.3,1.5
4,3.8,3,978.9,1.7
3,3.9,4,979.0,2.1
3,4.9,5,978.4,2.5
3,4.8,6,979.0,2.4
3,5.9,7,978.8,3.1
6,7.7,8,979.1,5.1
11,9.7,9,978.6,6.7
14,10.9,10,977.7,8.1
14,11.7,11,977.1,9.0
14,12.5,12,976.2,9.7
16,12.9,13,975.3,9.8
18,12.7,14,974.8,7.8
17,12.0,15,974.9,7.6
18,8.7,16,975.5,5.5
20,5.4,17,976.8,2.1
20,4.7,19,976.9,2.8
21,4.3,20,977.2,2.2
14,3.6,21,977.1,1.5
12,3.2,22,976.7,1.1
6,3.3,23,977.0,0.9
7,2.8,0,977.1,0.3
7,2.3,1,977.1,-0.4
7,3.1,2,976.9,0.1
7,3.4,3,977.3,0.1
7,3.4,4,977.2,-0.0
17,4.3,6,978.3,0.6
20,6.7,7,978.4,2.7
16,9.1,8,978.3,4.7
19,10.8,9,978.2,6.2
20,12.0,10,978.2,7.8
14,12.5,11,977.8,8.5
21,13.8,13,976.7,10.6
22,14.0,14,976.1,10.7
10,13.8,15,975.7,10.5
9,13.4,16,975.4,10.1
16,11.9,17,975.4,8.8
3,9.7,18,975.6,7.1
11,7.6,19,975.9,5.3
11,7.4,20,976.0,4.6
18,7.1,21,975.9,4.2
