available_bike_stands,surface_pressure,day_of_week,temperature,apparent_temperature
21,988.1,3,14.6,13.5
12,988.7,3,13.0,12.0
10,988.7,3,11.8,10.8
6,989.0,3,11.9,10.0
0,989.8,3,10.2,8.4
2,989.9,3,10.1,8.1
2,990.3,3,11.0,9.5
1,990.3,4,11.1,9.0
1,990.2,4,11.4,9.2
0,990.2,4,10.8,8.7
0,990.0,4,10.6,8.4
0,989.9,4,10.1,7.7
3,989.6,4,10.5,8.1
10,989.9,4,10.5,8.0
22,989.9,4,11.8,9.7
13,990.6,4,13.5,11.6
13,990.3,4,15.5,13.5
17,989.8,4,16.7,14.8
19,987.2,4,18.6,16.0
21,986.1,4,19.2,15.9
21,985.4,4,18.7,15.7
13,985.1,4,18.2,15.5
15,984.5,4,17.0,15.1
15,984.7,4,13.4,12.0
16,984.7,4,11.8,10.3
20,984.3,4,10.8,9.1
20,983.9,4,10.2,8.5
21,983.4,4,9.5,7.7
17,983.4,4,8.0,6.2
17,982.7,5,7.8,6.0
17,982.1,5,7.7,6.0
17,981.4,5,6.9,5.0
16,980.3,5,6.1,4.6
16,979.9,5,6.8,5.5
16,979.9,5,6.3,4.7
17,979.6,5,8.4,7.0
18,978.5,5,10.8,9.3
20,977.7,5,14.2,12.8
21,976.6,5,17.1,15.7
22,975.7,5,17.5,15.8
22,975.0,5,19.1,17.6
18,974.3,5,19.7,15.7
20,973.5,5,19.1,15.9
21,973.2,5,17.9,15.1
21,973.9,5,16.4,13.4
19,977.0,5,8.8,3.5
18,977.5,5,7.0,2.7
18,979.9,5,6.8,2.5
18,980.2,5,6.2,3.1
20,979.4,5,6.0,3.8
20,979.7,5,5.9,3.9
20,979.5,6,4.6,1.5
20,979.9,6,3.5,0.7
20,979.3,6,3.7,1.5
20,978.9,6,3.8,1.7
21,979.0,6,3.9,2.1
21,978.4,6,4.9,2.5
21,979.0,6,4.8,2.4
21,978.8,6,5.9,3.1
20,979.1,6,7.7,5.1
21,978.6,6,9.7,6.7
21,977.7,6,10.9,8.1
20,977.1,6,11.7,9.0
20,976.2,6,12.5,9.7
22,975.3,6,12.9,9.8
21,974.8,6,12.7,7.8
20,974.9,6,12.0,7.6
22,975.5,6,8.7,5.5
16,976.8,6,5.4,2.1
16,976.9,6,4.7,2.8
16,977.2,6,4.3,2.2
17,977.1,6,3.6,1.5
20,976.7,6,3.2,1.1
19,977.0,6,3.3,0.9
19,977.1,0,2.8,0.3
19,977.1,0,2.3,-0.4
19,976.9,0,3.1,0.1
19,977.3,0,3.4,0.1
19,977.2,0,3.4,-0.0
22,978.3,0,4.3,0.6
12,978.4,0,6.7,2.7
