available_bike_stands,surface_pressure,day_of_week,dew_point,relative_humidity
7,987.5,3,7.9,60.0
5,988.1,3,8.3,66.0
6,988.7,3,8.8,76.0
7,988.7,3,7.7,76.0
5,989.0,3,6.4,69.0
5,989.8,3,6.2,76.0
4,989.9,3,5.4,73.0
4,990.3,3,6.1,72.0
4,990.3,4,5.2,67.0
4,990.2,4,5.7,68.0
4,990.2,4,5.4,69.0
4,990.0,4,5.3,70.0
4,989.9,4,4.8,70.0
4,989.6,4,5.0,69.0
5,989.9,4,5.1,69.0
6,989.9,4,5.6,66.0
8,990.6,4,5.9,60.0
9,990.3,4,4.2,47.0
9,989.8,4,4.1,43.0
10,987.2,4,3.6,37.0
6,986.1,4,1.2,30.0
7,985.4,4,1.7,32.0
7,985.1,4,0.8,31.0
6,984.5,4,4.9,45.0
11,984.7,4,6.2,62.0
7,984.7,4,4.5,61.0
7,984.3,4,4.0,63.0
9,983.9,4,3.3,62.0
9,983.4,4,3.0,64.0
9,983.4,4,3.0,71.0
9,982.7,5,2.8,71.0
8,982.1,5,3.7,76.0
9,981.4,5,4.3,84.0
9,980.3,5,4.9,92.0
8,979.9,5,5.1,89.0
9,979.9,5,5.0,91.0
11,979.6,5,5.5,82.0
11,978.5,5,5.6,70.0
13,977.7,5,5.5,56.0
16,976.6,5,6.0,48.0
12,975.7,5,6.1,47.0
12,975.0,5,5.5,41.0
15,974.3,5,3.4,34.0
15,973.5,5,4.4,38.0
16,973.2,5,4.1,40.0
19,973.9,5,4.8,46.0
18,977.0,5,2.8,66.0
18,977.5,5,3.3,77.0
19,979.9,5,2.5,74.0
19,980.2,5,2.6,78.0
19,979.4,5,2.4,78.0
19,979.7,5,2.7,80.0
19,979.5,6,2.8,88.0
19,979.9,6,2.0,90.0
19,979.3,6,2.1,89.0
19,978.9,6,2.2,89.0
19,979.0,6,2.7,92.0
19,978.4,6,0.6,74.0
19,979.0,6,1.1,77.0
19,978.8,6,1.6,74.0
19,979.1,6,1.8,66.0
20,978.6,6,2.0,59.0
19,977.7,6,1.4,52.0
19,977.1,6,0.2,45.0
20,976.2,6,-2.2,36.0
20,975.3,6,-1.4,37.0
20,974.8,6,-0.9,39.0
19,974.9,6,-0.5,42.0
16,975.5,6,4.1,73.0
14,976.8,6,2.0,79.0
12,976.9,6,2.2,84.0
12,977.2,6,2.3,87.0
12,977.1,6,1.5,86.0
12,976.7,6,1.3,87.0
12,977.0,6,1.1,86.0
12,977.1,0,0.2,83.0
11,977.1,0,-0.2,84.0
11,976.9,0,-0.8,76.0
11,977.3,0,-1.3,71.0
11,977.2,0,-2.2,67.0
11,978.3,0,-1.7,65.0
12,978.4,0,-1.5,56.0
16,978.3,0,-0.0,53.0
17,978.2,0,-1.6,42.0
17,978.2,0,-3.4,34.0
17,977.8,0,-3.8,32.0
20,976.7,0,-4.9,27.0
17,976.1,0,-4.3,28.0
9,975.7,0,-3.5,30.0
8,975.4,0,-3.0,32.0
7,975.4,0,-1.3,40.0
6,975.6,0,0.0,51.0
6,975.9,0,0.3,60.0
5,976.0,0,-1.0,55.0
5,975.9,0,-2.3,51.0
5,975.8,0,-1.3,58.0
4,976.2,0,-0.7,63.0
4,976.2,1,0.2,75.0
4,975.9,1,-2.1,62.0
4,975.1,1,-2.2,65.0
4,974.5,1,-2.6,67.0
4,974.1,1,-2.3,68.0
4,973.8,1,-2.2,68.0
4,973.9,1,-2.2,64.0
4,973.8,1,-1.9,54.0
