available_bike_stands,temperature,apparent_temperature,hour,surface_pressure
8,14.6,13.5,17,988.1
0,13.0,12.0,18,988.7
6,11.8,10.8,19,988.7
7,11.9,10.0,20,989.0
7,10.2,8.4,21,989.8
4,10.1,8.1,22,989.9
5,11.0,9.5,23,990.3
6,11.1,9.0,0,990.3
6,11.4,9.2,1,990.2
6,10.8,8.7,2,990.2
6,10.6,8.4,3,990.0
8,10.1,7.7,4,989.9
7,10.5,8.1,5,989.6
13,10.5,8.0,6,989.9
20,11.8,9.7,7,989.9
20,13.5,11.6,8,990.6
8,15.5,13.5,9,990.3
7,16.7,14.8,10,989.8
17,18.6,16.0,13,987.2
20,19.2,15.9,14,986.1
16,18.7,15.7,15,985.4
20,18.2,15.5,16,985.1
13,17.0,15.1,17,984.5
12,13.4,12.0,18,984.7
6,11.8,10.3,19,984.7
1,10.8,9.1,20,984.3
0,10.2,8.5,21,983.9
11,9.5,7.7,22,983.4
13,8.0,6.2,23,983.4
10,7.8,6.0,0,982.7
9,7.7,6.0,1,982.1
10,6.9,5.0,2,981.4
10,6.1,4.6,3,980.3
10,6.8,5.5,4,979.9
8,6.3,4.7,5,979.9
10,8.4,7.0,7,979.6
9,10.8,9.3,8,978.5
8,14.2,12.8,9,977.7
5,17.1,15.7,10,976.6
6,17.5,15.8,11,975.7
8,19.1,17.6,12,975.0
10,19.7,15.7,14,974.3
11,19.1,15.9,15,973.5
10,17.9,15.1,16,973.2
8,16.4,13.4,17,973.9
11,8.8,3.5,18,977.0
11,7.0,2.7,19,977.5
11,6.8,2.5,20,979.9
10,6.2,3.1,21,980.2
9,6.0,3.8,22,979.4
9,5.9,3.9,23,979.7
9,4.6,1.5,0,979.5
9,3.5,0.7,1,979.9
10,3.7,1.5,2,979.3
10,3.8,1.7,3,978.9
10,3.9,2.1,4,979.0
12,4.9,2.5,5,978.4
12,4.8,2.4,6,979.0
11,5.9,3.1,7,978.8
12,7.7,5.1,8,979.1
12,9.7,6.7,9,978.6
12,10.9,8.1,10,977.7
12,11.7,9.0,11,977.1
15,12.5,9.7,12,976.2
16,12.9,9.8,13,975.3
18,12.7,7.8,14,974.8
16,12.0,7.6,15,974.9
15,8.7,5.5,16,975.5
14,5.4,2.1,17,976.8
17,4.7,2.8,19,976.9
18,4.3,2.2,20,977.2
17,3.6,1.5,21,977.1
15,3.2,1.1,22,976.7
15,3.3,0.9,23,977.0
14,2.8,0.3,0,977.1
14,2.3,-0.4,1,977.1
15,3.1,0.1,2,976.9
15,3.4,0.1,3,977.3
16,3.4,-0.0,4,977.2
17,4.3,0.6,6,978.3
20,6.7,2.7,7,978.4
20,9.1,4.7,8,978.3
8,10.8,6.2,9,978.2
11,12.0,7.8,10,978.2
9,12.5,8.5,11,977.8
19,13.8,10.6,13,976.7
14,14.0,10.7,14,976.1
18,13.8,10.5,15,975.7
19,13.4,10.1,16,975.4
16,11.9,8.8,17,975.4
9,9.7,7.1,18,975.6
5,7.6,5.3,19,975.9
9,7.4,4.6,20,976.0
10,7.1,4.2,21,975.9
10,6.4,3.7,22,975.8
10,5.8,3.2,23,976.2
10,4.3,1.9,0,976.2
10,4.5,1.9,1,975.9
10,3.8,1.1,2,975.1
10,2.9,0.1,3,974.5
11,3.1,0.1,4,974.1
11,3.1,0.3,5,973.8
13,4.0,0.7,6,973.9
16,6.7,3.0,7,973.8
4,13.9,9.6,9,973.1
4,14.6,10.5,10,972.8
4,15.2,11.2,11,972.0
2,15.3,11.4,12,971.5
12,15.9,11.8,13,970.9
10,15.3,10.8,14,970.4
10,14.7,10.1,15,970.3
11,13.5,9.2,16,970.4
7,12.3,8.1,17,970.5
3,11.4,7.7,18,970.4
1,11.0,8.3,19,970.0
10,10.3,8.4,21,969.3
11,10.0,7.9,22,969.1
12,10.1,7.7,23,969.2
11,10.0,7.9,0,968.6
10,9.7,7.4,1,968.5
10,9.4,7.1,2,967.9
9,9.7,7.5,3,967.6
9,9.1,6.5,4,967.0
8,8.8,7.0,5,967.0
10,8.9,6.5,6,966.7
20,10.0,7.6,7,966.5
11,11.7,9.2,8,966.9
14,13.0,10.2,9,966.5
12,16.7,14.1,11,965.4
5,17.5,14.2,12,964.3
12,18.1,15.2,13,963.4
9,17.8,14.8,14,962.8
9,16.7,15.1,16,962.2
10,15.1,14.8,17,961.6
7,14.3,14.0,18,961.3
7,13.5,13.3,19,961.1
