available_bike_stands,surface_pressure,day_of_week,dew_point,apparent_temperature
11,991.4,2,4.7,11.2
5,990.8,2,4.6,11.5
6,989.9,2,4.4,11.6
6,989.6,2,4.6,11.5
7,989.5,2,5.1,11.2
6,989.5,2,4.0,9.8
0,989.8,2,4.2,8.5
0,990.1,2,4.4,8.3
0,990.2,2,3.7,7.1
1,990.4,2,3.5,6.9
1,990.4,2,3.6,6.0
1,990.4,2,3.9,4.9
1,989.8,3,3.7,5.1
1,990.2,3,3.1,3.2
1,990.0,3,2.8,3.5
1,989.6,3,2.5,3.0
1,989.4,3,2.9,1.0
1,989.4,3,2.5,0.6
6,989.6,3,2.8,3.2
11,989.5,3,4.1,7.4
11,989.4,3,5.0,10.8
11,989.1,3,5.0,13.7
11,989.3,3,5.1,14.9
10,988.8,3,5.8,16.4
10,988.3,3,6.7,16.0
7,988.0,3,6.1,15.6
5,987.8,3,7.1,15.0
13,987.5,3,7.9,15.0
15,988.1,3,8.3,13.5
15,988.7,3,8.8,12.0
10,988.7,3,7.7,10.8
10,989.0,3,6.4,10.0
9,989.8,3,6.2,8.4
9,989.9,3,5.4,8.1
9,990.3,3,6.1,9.5
9,990.3,4,5.2,9.0
9,990.2,4,5.7,9.2
9,990.2,4,5.4,8.7
9,990.0,4,5.3,8.4
9,989.9,4,4.8,7.7
9,989.6,4,5.0,8.1
9,989.9,4,5.1,8.0
8,989.9,4,5.6,9.7
9,990.6,4,5.9,11.6
9,990.3,4,4.2,13.5
9,989.8,4,4.1,14.8
1,987.2,4,3.6,16.0
1,986.1,4,1.2,15.9
0,985.4,4,1.7,15.7
0,985.1,4,0.8,15.5
7,984.5,4,4.9,15.1
5,984.7,4,6.2,12.0
1,984.7,4,4.5,10.3
3,984.3,4,4.0,9.1
3,983.9,4,3.3,8.5
3,983.4,4,3.0,7.7
3,983.4,4,3.0,6.2
3,982.7,5,2.8,6.0
3,982.1,5,3.7,6.0
3,981.4,5,4.3,5.0
3,980.3,5,4.9,4.6
3,979.9,5,5.1,5.5
3,979.9,5,5.0,4.7
2,979.6,5,5.5,7.0
2,978.5,5,5.6,9.3
2,977.7,5,5.5,12.8
2,976.6,5,6.0,15.7
0,975.7,5,6.1,15.8
0,975.0,5,5.5,17.6
1,974.3,5,3.4,15.7
1,973.5,5,4.4,15.9
1,973.2,5,4.1,15.1
0,973.9,5,4.8,13.4
1,977.0,5,2.8,3.5
0,977.5,5,3.3,2.7
0,979.9,5,2.5,2.5
0,980.2,5,2.6,3.1
0,979.4,5,2.4,3.8
0,979.7,5,2.7,3.9
0,979.5,6,2.8,1.5
0,979.9,6,2.0,0.7
0,979.3,6,2.1,1.5
0,978.9,6,2.2,1.7
0,979.0,6,2.7,2.1
0,978.4,6,0.6,2.5
0,979.0,6,1.1,2.4
0,978.8,6,1.6,3.1
0,979.1,6,1.8,5.1
0,978.6,6,2.0,6.7
0,977.7,6,1.4,8.1
0,977.1,6,0.2,9.0
0,976.2,6,-2.2,9.7
0,975.3,6,-1.4,9.8
0,974.8,6,-0.9,7.8
0,974.9,6,-0.5,7.6
0,975.5,6,4.1,5.5
0,976.8,6,2.0,2.1
0,976.9,6,2.2,2.8
0,977.2,6,2.3,2.2
0,977.1,6,1.5,1.5
0,976.7,6,1.3,1.1
0,977.0,6,1.1,0.9
0,977.1,0,0.2,0.3
0,977.1,0,-0.2,-0.4
0,976.9,0,-0.8,0.1
0,977.3,0,-1.3,0.1
0,977.2,0,-2.2,-0.0
0,978.3,0,-1.7,0.6
0,978.4,0,-1.5,2.7
9,978.3,0,-0.0,4.7
8,978.2,0,-1.6,6.2
10,978.2,0,-3.4,7.8
10,977.8,0,-3.8,8.5
11,976.7,0,-4.9,10.6
14,976.1,0,-4.3,10.7
13,975.7,0,-3.5,10.5
15,975.4,0,-3.0,10.1
15,975.4,0,-1.3,8.8
15,975.6,0,0.0,7.1
14,975.9,0,0.3,5.3
15,976.0,0,-1.0,4.6
15,975.9,0,-2.3,4.2
15,975.8,0,-1.3,3.7
15,976.2,0,-0.7,3.2
15,976.2,1,0.2,1.9
15,975.9,1,-2.1,1.9
15,975.1,1,-2.2,1.1
15,974.5,1,-2.6,0.1
15,974.1,1,-2.3,0.1
15,973.8,1,-2.2,0.3
15,973.9,1,-2.2,0.7
16,973.8,1,-1.9,3.0
15,973.1,1,-3.0,9.6
16,972.8,1,-1.5,10.5
16,972.0,1,-1.4,11.2
14,971.5,1,-0.1,11.4
14,970.9,1,0.4,11.8
11,970.4,1,-0.1,10.8
10,970.3,1,-0.6,10.1
7,970.4,1,0.5,9.2
7,970.5,1,-1.6,8.1
5,970.4,1,-0.4,7.7
5,970.0,1,-0.2,8.3
6,969.3,1,2.4,8.4
6,969.1,1,2.6,7.9
6,969.2,1,2.0,7.7
6,968.6,2,2.1,7.9
6,968.5,2,2.3,7.4
6,967.9,2,2.5,7.1
6,967.6,2,2.1,7.5
6,967.0,2,1.8,6.5
6,967.0,2,2.5,7.0
6,966.7,2,1.7,6.5
7,966.5,2,2.1,7.6
7,966.9,2,4.2,9.2
6,966.5,2,4.4,10.2
10,965.4,2,7.0,14.1
9,964.3,2,7.2,14.2
11,963.4,2,7.5,15.2
10,962.8,2,8.4,14.8
9,962.2,2,9.9,15.1
9,961.6,2,11.1,14.8
8,961.3,2,11.8,14.0
8,961.1,2,12.2,13.3
8,960.6,2,10.3,13.0
8,960.8,2,8.8,11.1
8,961.0,2,6.8,9.8
8,962.0,2,5.8,9.5
8,961.4,3,2.1,7.6
8,960.8,3,1.4,7.6
8,962.2,3,0.1,5.8
8,963.4,3,0.3,7.1
8,963.9,3,1.2,5.1
8,965.4,3,2.0,5.7
9,966.4,3,1.7,8.1
9,966.9,3,1.7,9.7
10,967.8,3,2.2,10.8
10,968.5,3,2.0,12.3
9,969.9,3,3.1,11.7
11,969.8,3,4.0,11.7
11,970.0,3,5.2,11.1
13,970.2,3,6.2,9.9
13,969.4,3,6.0,10.0
13,969.1,3,7.2,9.6
13,969.3,3,7.8,8.3
13,969.5,3,8.4,8.3
13,971.8,3,8.2,9.1
13,975.0,3,7.1,7.5
13,977.1,3,3.1,5.3
13,977.1,3,3.8,5.5
13,978.4,4,4.0,4.8
13,979.0,4,4.8,4.6
13,979.3,4,4.7,4.2
13,979.7,4,4.2,3.5
13,979.7,4,3.6,3.1
13,980.1,4,3.4,3.2
13,980.3,4,3.7,3.6
13,980.3,4,4.7,5.8
12,980.2,4,7.2,9.5
12,980.1,4,8.9,13.1
13,979.9,4,7.3,15.8
13,979.8,4,8.1,16.2
10,979.7,4,8.9,16.1
12,979.8,4,9.3,16.4
10,979.4,4,9.7,15.8
9,979.6,4,9.3,15.9
10,979.3,4,9.3,15.5
10,978.4,4,9.6,13.9
8,978.4,4,8.3,14.0
5,978.7,4,7.4,14.4
7,979.1,4,6.7,13.9
7,980.2,4,6.5,14.4
7,980.2,4,7.8,13.5
7,980.5,4,6.7,13.1
7,980.4,5,6.8,12.5
7,980.3,5,6.4,10.6
7,980.2,5,6.8,10.2
7,979.7,5,7.5,9.4
7,979.5,5,7.6,9.6
7,979.5,5,8.0,11.7
6,979.9,5,9.1,14.1
7,979.4,5,10.0,18.3
6,978.9,5,5.4,19.1
5,978.6,5,7.3,19.7
7,977.9,5,8.2,20.4
7,977.3,5,6.3,19.8
7,976.4,5,6.4,19.5
5,976.2,5,7.5,20.0
8,975.5,5,7.4,19.7
8,975.4,5,5.7,18.1
9,976.3,5,4.0,14.9
9,975.7,5,5.9,13.1
9,975.7,5,5.9,13.1
9,976.1,5,6.6,12.2
