available_bike_stands,surface_pressure,day_of_week,apparent_temperature,hour
16,983.4,4,6.2,23
19,982.7,5,6.0,0
20,982.1,5,6.0,1
20,981.4,5,5.0,2
20,980.3,5,4.6,3
20,979.9,5,5.5,4
20,979.9,5,4.7,5
18,979.6,5,7.0,7
16,978.5,5,9.3,8
17,977.7,5,12.8,9
19,976.6,5,15.7,10
18,975.7,5,15.8,11
17,975.0,5,17.6,12
14,974.3,5,15.7,14
8,973.5,5,15.9,15
2,973.2,5,15.1,16
4,973.9,5,13.4,17
2,977.0,5,3.5,18
3,977.5,5,2.7,19
4,979.9,5,2.5,20
4,980.2,5,3.1,21
4,979.4,5,3.8,22
2,979.7,5,3.9,23
3,979.5,6,1.5,0
3,979.9,6,0.7,1
3,979.3,6,1.5,2
3,978.9,6,1.7,3
4,979.0,6,2.1,4
6,978.4,6,2.5,5
5,979.0,6,2.4,6
5,978.8,6,3.1,7
6,979.1,6,5.1,8
2,978.6,6,6.7,9
5,977.7,6,8.1,10
9,977.1,6,9.0,11
6,976.2,6,9.7,12
1,975.3,6,9.8,13
2,974.8,6,7.8,14
0,974.9,6,7.6,15
7,975.5,6,5.5,16
11,976.8,6,2.1,17
4,976.9,6,2.8,19
3,977.2,6,2.2,20
3,977.1,6,1.5,21
5,976.7,6,1.1,22
8,977.0,6,0.9,23
8,977.1,0,0.3,0
7,977.1,0,-0.4,1
7,976.9,0,0.1,2
7,977.3,0,0.1,3
6,977.2,0,-0.0,4
0,978.3,0,0.6,6
5,978.4,0,2.7,7
0,978.3,0,4.7,8
4,978.2,0,6.2,9
4,978.2,0,7.8,10
5,977.8,0,8.5,11
2,976.7,0,10.6,13
7,976.1,0,10.7,14
19,975.7,0,10.5,15
19,975.4,0,10.1,16
16,975.4,0,8.8,17
19,975.6,0,7.1,18
14,975.9,0,5.3,19
12,976.0,0,4.6,20
4,975.9,0,4.2,21
10,975.8,0,3.7,22
16,976.2,0,3.2,23
16,976.2,1,1.9,0
16,975.9,1,1.9,1
16,975.1,1,1.1,2
17,974.5,1,0.1,3
17,974.1,1,0.1,4
18,973.8,1,0.3,5
9,973.9,1,0.7,6
8,973.8,1,3.0,7
0,973.1,1,9.6,9
0,972.8,1,10.5,10
0,972.0,1,11.2,11
18,971.5,1,11.4,12
19,970.9,1,11.8,13
14,970.4,1,10.8,14
18,970.3,1,10.1,15
18,970.4,1,9.2,16
11,970.5,1,8.1,17
18,970.4,1,7.7,18
18,970.0,1,8.3,19
10,969.3,1,8.4,21
15,969.1,1,7.9,22
16,969.2,1,7.7,23
17,968.6,2,7.9,0
18,968.5,2,7.4,1
17,967.9,2,7.1,2
17,967.6,2,7.5,3
17,967.0,2,6.5,4
17,967.0,2,7.0,5
7,966.7,2,6.5,6
1,966.5,2,7.6,7
7,966.9,2,9.2,8
16,966.5,2,10.2,9
13,965.4,2,14.1,11
13,964.3,2,14.2,12
10,963.4,2,15.2,13
17,962.8,2,14.8,14
13,962.2,2,15.1,16
16,961.6,2,14.8,17
11,961.3,2,14.0,18
10,961.1,2,13.3,19
8,960.6,2,13.0,20
8,960.8,2,11.1,21
10,961.0,2,9.8,22
10,962.0,2,9.5,23
10,961.4,3,7.6,0
10,960.8,3,7.6,1
10,962.2,3,5.8,2
10,963.4,3,7.1,3
10,963.9,3,5.1,4
4,965.4,3,5.7,6
3,966.4,3,8.1,7
14,966.9,3,9.7,8
6,967.8,3,10.8,9
6,968.5,3,12.3,10
2,969.9,3,11.7,11
15,969.8,3,11.7,12
18,970.0,3,11.1,13
15,970.2,3,9.9,14
18,969.4,3,10.0,15
20,969.1,3,9.6,16
11,969.3,3,8.3,17
8,969.5,3,8.3,18
6,971.8,3,9.1,20
10,975.0,3,7.5,21
13,977.1,3,5.3,22
14,977.1,3,5.5,23
15,978.4,4,4.8,0
15,979.0,4,4.6,1
16,979.3,4,4.2,2
16,979.7,4,3.5,3
16,979.7,4,3.1,4
18,980.1,4,3.2,5
11,980.3,4,3.6,6
13,980.3,4,5.8,7
10,980.2,4,9.5,8
7,980.1,4,13.1,9
10,979.9,4,15.8,10
7,979.8,4,16.2,11
1,979.7,4,16.1,12
5,979.8,4,16.4,13
14,979.4,4,15.8,14
9,979.6,4,15.9,15
20,979.3,4,15.5,16
18,978.4,4,13.9,17
9,978.4,4,14.0,18
6,978.7,4,14.4,19
3,979.1,4,13.9,20
8,980.2,4,14.4,21
4,980.2,4,13.5,22
10,980.5,4,13.1,23
16,980.4,5,12.5,0
20,980.3,5,10.6,1
20,980.2,5,10.2,2
20,979.7,5,9.4,5
14,979.5,5,9.6,6
19,979.5,5,11.7,7
18,979.9,5,14.1,8
18,979.4,5,18.3,9
16,978.9,5,19.1,10
19,978.6,5,19.7,11
13,977.9,5,20.4,12
14,977.3,5,19.8,13
15,976.4,5,19.5,14
16,976.2,5,20.0,15
18,975.5,5,19.7,16
17,975.4,5,18.1,17
6,976.3,5,14.9,19
8,975.7,5,13.1,20
2,975.7,5,13.1,20
3,976.1,5,12.2,21
