available_bike_stands,hour,surface_pressure,is_day,apparent_temperature,date
21,6,985.5125,1,15.05,2023-06-29 06:00:00+00:00
21,7,985.7000000000002,1,16.91111111111111,2023-06-29 07:00:00+00:00
19,8,985.8363636363637,1,18.8,2023-06-29 08:00:00+00:00
19,9,986.0600000000001,1,21.5,2023-06-29 09:00:00+00:00
19,10,986.0,1,23.400000000000002,2023-06-29 10:00:00+00:00
20,11,985.6777777777778,1,25.022222222222226,2023-06-29 11:00:00+00:00
17,12,985.0555555555555,1,25.066666666666666,2023-06-29 12:00:00+00:00
8,13,984.1,1,24.849999999999998,2023-06-29 13:00:00+00:00
3,14,983.8,1,25.45,2023-06-29 14:00:00+00:00
3,15,983.6,1,25.18,2023-06-29 15:00:00+00:00
13,16,983.0727272727272,1,24.518181818181816,2023-06-29 16:00:00+00:00
12,17,982.4499999999999,1,23.75,2023-06-29 17:00:00+00:00
18,18,981.95,1,22.7,2023-06-29 18:00:00+00:00
21,19,981.7,0,22.0,2023-06-29 19:00:00+00:00
12,20,981.54,0,21.54,2023-06-29 20:00:00+00:00
10,21,981.55,0,20.950000000000003,2023-06-29 21:00:00+00:00
1,22,981.7714285714285,0,20.38571428571429,2023-06-29 22:00:00+00:00
0,23,981.6999999999999,0,19.05,2023-06-29 23:00:00+00:00
0,0,981.3000000000001,0,17.5,2023-06-30 00:00:00+00:00
0,1,981.2000000000002,0,15.799999999999999,2023-06-30 01:00:00+00:00
0,2,981.35,0,14.85,2023-06-30 02:00:00+00:00
0,3,981.5,0,14.5,2023-06-30 03:00:00+00:00
3,4,981.1666666666666,0,13.366666666666667,2023-06-30 04:00:00+00:00
9,5,980.7181818181817,0,13.418181818181818,2023-06-30 05:00:00+00:00
19,6,980.3799999999999,1,15.12,2023-06-30 06:00:00+00:00
21,7,980.0600000000001,1,17.860000000000003,2023-06-30 07:00:00+00:00
20,8,980.0,1,20.15,2023-06-30 08:00:00+00:00
