available_bike_stands,surface_pressure,day_of_week,dew_point,apparent_temperature
11,987.5,3,7.9,15.0
14,988.1,3,8.3,13.5
14,988.7,3,8.8,12.0
14,988.7,3,7.7,10.8
14,989.0,3,6.4,10.0
14,989.8,3,6.2,8.4
14,989.9,3,5.4,8.1
14,990.3,3,6.1,9.5
14,990.3,4,5.2,9.0
14,990.2,4,5.7,9.2
14,990.2,4,5.4,8.7
14,990.0,4,5.3,8.4
14,989.9,4,4.8,7.7
14,989.6,4,5.0,8.1
15,989.9,4,5.1,8.0
15,989.9,4,5.6,9.7
15,990.6,4,5.9,11.6
16,990.3,4,4.2,13.5
16,989.8,4,4.1,14.8
12,987.2,4,3.6,16.0
12,986.1,4,1.2,15.9
11,985.4,4,1.7,15.7
11,985.1,4,0.8,15.5
12,984.5,4,4.9,15.1
15,984.7,4,6.2,12.0
13,984.7,4,4.5,10.3
5,984.3,4,4.0,9.1
5,983.9,4,3.3,8.5
3,983.4,4,3.0,7.7
2,983.4,4,3.0,6.2
1,982.7,5,2.8,6.0
2,982.1,5,3.7,6.0
2,981.4,5,4.3,5.0
2,980.3,5,4.9,4.6
2,979.9,5,5.1,5.5
3,979.9,5,5.0,4.7
3,979.6,5,5.5,7.0
3,978.5,5,5.6,9.3
3,977.7,5,5.5,12.8
3,976.6,5,6.0,15.7
3,975.7,5,6.1,15.8
2,975.0,5,5.5,17.6
4,974.3,5,3.4,15.7
4,973.5,5,4.4,15.9
4,973.2,5,4.1,15.1
8,973.9,5,4.8,13.4
8,977.0,5,2.8,3.5
8,977.5,5,3.3,2.7
8,979.9,5,2.5,2.5
8,980.2,5,2.6,3.1
8,979.4,5,2.4,3.8
8,979.7,5,2.7,3.9
8,979.5,6,2.8,1.5
8,979.9,6,2.0,0.7
8,979.3,6,2.1,1.5
8,978.9,6,2.2,1.7
8,979.0,6,2.7,2.1
8,978.4,6,0.6,2.5
8,979.0,6,1.1,2.4
8,978.8,6,1.6,3.1
8,979.1,6,1.8,5.1
10,978.6,6,2.0,6.7
9,977.7,6,1.4,8.1
7,977.1,6,0.2,9.0
7,976.2,6,-2.2,9.7
6,975.3,6,-1.4,9.8
8,974.8,6,-0.9,7.8
12,974.9,6,-0.5,7.6
8,975.5,6,4.1,5.5
8,976.8,6,2.0,2.1
9,976.9,6,2.2,2.8
8,977.2,6,2.3,2.2
9,977.1,6,1.5,1.5
9,976.7,6,1.3,1.1
9,977.0,6,1.1,0.9
9,977.1,0,0.2,0.3
10,977.1,0,-0.2,-0.4
10,976.9,0,-0.8,0.1
10,977.3,0,-1.3,0.1
10,977.2,0,-2.2,-0.0
10,978.3,0,-1.7,0.6
13,978.4,0,-1.5,2.7
11,978.3,0,-0.0,4.7
12,978.2,0,-1.6,6.2
14,978.2,0,-3.4,7.8
13,977.8,0,-3.8,8.5
9,976.7,0,-4.9,10.6
11,976.1,0,-4.3,10.7
9,975.7,0,-3.5,10.5
9,975.4,0,-3.0,10.1
10,975.4,0,-1.3,8.8
12,975.6,0,0.0,7.1
13,975.9,0,0.3,5.3
15,976.0,0,-1.0,4.6
15,975.9,0,-2.3,4.2
15,975.8,0,-1.3,3.7
15,976.2,0,-0.7,3.2
15,976.2,1,0.2,1.9
15,975.9,1,-2.1,1.9
15,975.1,1,-2.2,1.1
15,974.5,1,-2.6,0.1
15,974.1,1,-2.3,0.1
16,973.8,1,-2.2,0.3
18,973.9,1,-2.2,0.7
19,973.8,1,-1.9,3.0
19,973.1,1,-3.0,9.6
20,972.8,1,-1.5,10.5
20,972.0,1,-1.4,11.2
13,971.5,1,-0.1,11.4
14,970.9,1,0.4,11.8
15,970.4,1,-0.1,10.8
13,970.3,1,-0.6,10.1
13,970.4,1,0.5,9.2
9,970.5,1,-1.6,8.1
9,970.4,1,-0.4,7.7
9,970.0,1,-0.2,8.3
9,969.3,1,2.4,8.4
9,969.1,1,2.6,7.9
9,969.2,1,2.0,7.7
9,968.6,2,2.1,7.9
9,968.5,2,2.3,7.4
9,967.9,2,2.5,7.1
9,967.6,2,2.1,7.5
9,967.0,2,1.8,6.5
10,967.0,2,2.5,7.0
11,966.7,2,1.7,6.5
12,966.5,2,2.1,7.6
11,966.9,2,4.2,9.2
13,966.5,2,4.4,10.2
11,965.4,2,7.0,14.1
10,964.3,2,7.2,14.2
11,963.4,2,7.5,15.2
10,962.8,2,8.4,14.8
11,962.2,2,9.9,15.1
10,961.6,2,11.1,14.8
9,961.3,2,11.8,14.0
9,961.1,2,12.2,13.3
9,960.6,2,10.3,13.0
9,960.8,2,8.8,11.1
9,961.0,2,6.8,9.8
8,962.0,2,5.8,9.5
7,961.4,3,2.1,7.6
7,960.8,3,1.4,7.6
7,962.2,3,0.1,5.8
7,963.4,3,0.3,7.1
7,963.9,3,1.2,5.1
9,965.4,3,2.0,5.7
9,966.4,3,1.7,8.1
10,966.9,3,1.7,9.7
9,967.8,3,2.2,10.8
8,968.5,3,2.0,12.3
8,969.9,3,3.1,11.7
8,969.8,3,4.0,11.7
9,970.0,3,5.2,11.1
9,970.2,3,6.2,9.9
4,969.4,3,6.0,10.0
2,969.1,3,7.2,9.6
2,969.3,3,7.8,8.3
2,969.5,3,8.4,8.3
2,971.8,3,8.2,9.1
2,975.0,3,7.1,7.5
2,977.1,3,3.1,5.3
2,977.1,3,3.8,5.5
2,978.4,4,4.0,4.8
2,979.0,4,4.8,4.6
2,979.3,4,4.7,4.2
2,979.7,4,4.2,3.5
2,979.7,4,3.6,3.1
3,980.1,4,3.4,3.2
4,980.3,4,3.7,3.6
7,980.3,4,4.7,5.8
6,980.2,4,7.2,9.5
6,980.1,4,8.9,13.1
6,979.9,4,7.3,15.8
6,979.8,4,8.1,16.2
3,979.7,4,8.9,16.1
2,979.8,4,9.3,16.4
4,979.4,4,9.7,15.8
4,979.6,4,9.3,15.9
13,979.3,4,9.3,15.5
15,978.4,4,9.6,13.9
