,date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
41,2023-06-26 02:22:38+00:00,5.284324744007038,74,12.4,7.530623359834058,0.0,0.0,4.833506990716924e+129,22,2
43,2023-06-26 02:31:07+00:00,5.117547014590004,76,12.0,7.230374625739918,0.0,0.0,4.855082135858488e+129,22,2
44,2023-06-26 02:41:13+00:00,5.117735162834227,76,12.0,7.230374625739918,0.0,0.0,4.855082135858488e+129,22,2
45,2023-06-26 02:51:17+00:00,5.117735162834227,76,12.0,7.230374625739918,0.0,0.0,4.855082135858488e+129,22,2
46,2023-06-26 03:01:23+00:00,5.117735162834227,76,12.0,7.230374625739918,0.0,0.0,4.855082135858488e+129,22,2
47,2023-06-26 03:11:28+00:00,5.117735162834227,76,12.0,7.230374625739918,0.0,0.0,4.855082135858488e+129,22,2
48,2023-06-26 03:21:33+00:00,5.117735162834227,76,12.0,7.230374625739918,0.0,0.0,4.855082135858488e+129,22,2
51,2023-06-26 03:31:38+00:00,5.117735162834227,76,12.0,7.264056851545017,0.0,0.0,4.769342168904965e+129,22,2
49,2023-06-26 03:41:43+00:00,5.117735162834227,76,12.0,7.264056851545017,0.0,0.0,4.769342168904965e+129,22,2
54,2023-06-26 03:55:02+00:00,5.117735162834227,76,12.0,7.264056851545017,0.0,0.0,4.769342168904965e+129,22,3
50,2023-06-26 04:04:41+00:00,5.117735162834227,76,12.0,7.264056851545017,0.0,0.0,4.769342168904965e+129,22,4
52,2023-06-26 04:12:02+00:00,5.117735162834227,76,12.0,7.264056851545017,0.0,0.0,4.769342168904965e+129,22,4
53,2023-06-26 04:23:04+00:00,5.090002248198835,76,12.0,7.264056851545017,0.0,0.0,4.769342168904965e+129,22,5
60,2023-06-26 04:32:22+00:00,5.0609751132492935,80,12.4,7.162761551935689,0.0,0.0,4.6642458587725557e+129,22,6
59,2023-06-26 04:42:23+00:00,5.0609751132492935,80,12.4,7.162761551935689,0.0,0.0,4.6642458587725557e+129,22,6
58,2023-06-26 04:52:53+00:00,5.0609751132492935,80,12.4,7.162761551935689,0.0,0.0,4.6642458587725557e+129,22,9
57,2023-06-26 05:03:27+00:00,5.0609751132492935,80,12.4,7.162761551935689,0.0,0.0,4.6642458587725557e+129,22,10
56,2023-06-26 05:15:39+00:00,5.0609751132492935,80,12.4,7.162761551935689,0.0,0.0,4.6642458587725557e+129,22,11
55,2023-06-26 05:22:53+00:00,5.0609751132492935,80,12.4,7.162761551935689,0.0,0.0,4.6642458587725557e+129,22,11
62,2023-06-26 05:35:24+00:00,5.117735162834227,80,12.7,7.331176249192268,0.0,0.0,4.6228440117228294e+129,22,12
63,2023-06-26 05:43:11+00:00,5.117735162834227,80,12.7,7.331176249192268,0.0,0.0,4.6228440117228294e+129,22,14
64,2023-06-26 05:54:01+00:00,5.117735162834227,80,12.7,7.331176249192268,0.0,0.0,4.6228440117228294e+129,22,13
65,2023-06-26 06:03:24+00:00,5.117735162834227,80,12.7,7.331176249192268,0.0,0.0,4.6228440117228294e+129,22,15
61,2023-06-26 06:15:36+00:00,5.117735162834227,80,12.7,7.331176249192268,0.0,0.0,4.6228440117228294e+129,22,12
66,2023-06-26 06:24:53+00:00,5.117735162834227,80,12.7,7.331176249192268,0.0,0.0,4.6228440117228294e+129,22,14
71,2023-06-26 06:33:51+00:00,5.51591765986469,76,14.0,8.176247185080943,0.0,0.0,4.685082439266811e+129,22,17
67,2023-06-26 06:44:04+00:00,5.51591765986469,76,14.0,8.176247185080943,0.0,0.0,4.685082439266811e+129,22,19
68,2023-06-26 06:54:10+00:00,5.51591765986469,76,14.0,8.176247185080943,0.0,0.0,4.685082439266811e+129,22,18
69,2023-06-26 07:05:18+00:00,5.51591765986469,76,14.0,8.176247185080943,0.0,0.0,4.685082439266811e+129,22,20
70,2023-06-26 07:14:23+00:00,5.51591765986469,76,14.0,8.176247185080943,0.0,0.0,4.685082439266811e+129,22,19
72,2023-06-26 07:24:32+00:00,5.51591765986469,76,14.0,8.176247185080943,0.0,0.0,4.685082439266811e+129,22,21
76,2023-06-26 07:34:52+00:00,5.951240914354834,65,14.2,8.946722369218515,0.0,0.0,4.727028844713818e+129,22,20
77,2023-06-26 07:44:45+00:00,5.951240914354834,65,14.2,8.946722369218515,0.0,0.0,4.727028844713818e+129,22,19
78,2023-06-26 07:54:53+00:00,5.951240914354834,65,14.2,8.946722369218515,0.0,0.0,4.727028844713818e+129,22,22
74,2023-06-26 08:04:58+00:00,5.951240914354834,65,14.2,8.946722369218515,0.0,0.0,4.727028844713818e+129,22,22
75,2023-06-26 08:15:03+00:00,5.951240914354834,65,14.2,8.946722369218515,0.0,0.0,4.727028844713818e+129,22,22
73,2023-06-26 08:25:09+00:00,5.951240914354834,65,14.2,8.946722369218515,0.0,0.0,4.727028844713818e+129,22,22
79,2023-06-26 08:35:16+00:00,6.249261434707712,61,14.9,9.566975729661841,0.0,0.0,4.898515125313875e+129,22,22
80,2023-06-26 08:45:22+00:00,6.249261434707712,61,14.9,9.566975729661841,0.0,0.0,4.898515125313875e+129,22,20
81,2023-06-26 08:55:31+00:00,6.249261434707712,61,14.9,9.566975729661841,0.0,0.0,4.898515125313875e+129,22,21
82,2023-06-26 09:05:38+00:00,6.250637110746368,61,14.9,9.566975729661841,0.0,0.0,4.898515125313875e+129,22,22
83,2023-06-26 09:15:43+00:00,6.249261434707712,61,14.9,9.566975729661841,0.0,0.0,4.898515125313875e+129,22,22
84,2023-06-26 09:25:49+00:00,6.249261434707712,61,14.9,9.566975729661841,0.0,0.0,4.898515125313875e+129,22,22
88,2023-06-26 09:35:54+00:00,6.488912172692613,54,14.6,10.137772121011121,0.0,0.0,4.898515125313875e+129,22,22
89,2023-06-26 09:53:08+00:00,6.488912172692613,54,14.6,10.137772121011121,0.0,0.0,4.898515125313875e+129,22,18
86,2023-06-26 10:02:33+00:00,6.488912172692613,54,14.6,10.137772121011121,0.11,0.0,4.898515125313875e+129,22,20
87,2023-06-26 10:12:31+00:00,6.488912172692613,54,14.6,10.137772121011121,0.0,0.0,4.898515125313875e+129,22,21
85,2023-06-26 10:24:51+00:00,6.488912172692613,54,14.6,10.137772121011121,0.0,0.0,4.898515125313875e+129,22,20
93,2023-06-26 10:34:42+00:00,6.6910159225331185,51,14.9,10.9351608204546,0.0,0.0,4.790637403903597e+129,22,19
92,2023-06-26 10:44:37+00:00,6.6910159225331185,51,14.9,10.9351608204546,0.0,0.0,4.790637403903597e+129,22,16
94,2023-06-26 10:49:49+00:00,6.6910159225331185,51,14.9,10.9351608204546,3.86,0.0,4.790637403903597e+129,22,17
91,2023-06-26 11:03:15+00:00,6.6910159225331185,51,14.9,10.9351608204546,0.0,0.0,4.790637403903597e+129,22,19
90,2023-06-26 11:15:47+00:00,6.6910159225331185,51,14.9,10.9351608204546,0.0,0.0,4.790637403903597e+129,22,14
96,2023-06-26 17:52:24+00:00,6.91412273426743,39,12.4,10.416565460811894,0.0,0.0,4.362352639994664e+129,22,1
97,2023-06-26 18:00:28+00:00,6.91412273426743,39,12.4,10.416565460811894,0.0,0.0,4.362352639994664e+129,22,0
95,2023-06-26 18:04:07+00:00,6.91412273426743,39,12.4,10.416565460811894,0.0,0.0,4.362352639994664e+129,22,2
98,2023-06-26 18:10:23+00:00,6.91412273426743,39,12.4,10.416565460811894,0.0,0.0,4.362352639994664e+129,22,2
99,2023-06-26 18:15:45+00:00,6.91412273426743,39,12.4,10.416565460811894,0.0,0.0,4.362352639994664e+129,22,3
100,2023-06-26 18:18:50+00:00,6.91412273426743,39,12.4,10.416565460811894,0.0,0.0,4.362352639994664e+129,22,4
101,2023-06-26 18:24:41+00:00,6.91412273426743,39,12.4,10.416565460811894,0.0,0.0,4.362352639994664e+129,22,3
106,2023-06-26 18:34:14+00:00,6.817498488965596,41,12.4,10.22185313755241,0.0,0.0,4.323571678473432e+129,22,5
105,2023-06-26 18:37:14+00:00,6.817498488965594,41,12.4,10.22185313755241,0.0,0.0,4.323571678473432e+129,22,4
102,2023-06-26 18:43:00+00:00,6.817498488965594,41,12.4,10.22185313755241,0.0,0.0,4.323571678473432e+129,22,5
103,2023-06-26 18:46:27+00:00,6.817498488965596,41,12.4,10.22185313755241,0.0,0.0,4.323571678473432e+129,22,4
107,2023-06-26 18:54:57+00:00,6.817498488965594,41,12.4,10.22185313755241,0.0,0.0,4.323571678473432e+129,22,2
104,2023-06-26 18:59:49+00:00,6.817498488965594,41,12.4,10.22185313755241,0.0,0.0,4.323571678473432e+129,22,3
108,2023-06-26 19:05:00+00:00,6.817498488965594,41,12.4,10.22185313755241,0.0,0.0,4.323571678473432e+129,22,8
109,2023-06-26 19:07:43+00:00,6.817498488965594,41,12.4,10.22185313755241,0.0,0.0,4.323571678473432e+129,22,7
111,2023-06-26 19:14:50+00:00,6.817498488965594,41,12.4,10.22185313755241,0.0,0.0,4.323571678473432e+129,22,5
112,2023-06-26 19:23:28+00:00,6.817498488965596,41,12.4,10.22185313755241,0.0,0.0,4.323571678473432e+129,22,5
110,2023-06-26 19:27:50+00:00,6.817498488965594,41,12.4,10.22185313755241,0.0,0.0,4.323571678473432e+129,22,6
116,2023-06-26 19:33:39+00:00,6.676088894804674,45,12.9,10.137772121011121,0.0,0.0,4.3429198583464165e+129,22,8
120,2023-06-26 19:38:04+00:00,6.676800531235448,45,12.9,10.137772121011121,0.0,0.0,4.3429198583464165e+129,22,7
119,2023-06-26 19:45:38+00:00,6.676800531235448,45,12.9,10.137772121011121,0.0,0.0,4.3429198583464165e+129,22,6
118,2023-06-26 19:48:20+00:00,6.676800531235448,45,12.9,10.137772121011121,0.0,0.0,4.3429198583464165e+129,22,7
117,2023-06-26 19:53:51+00:00,6.676800531235448,45,12.9,10.137772121011121,0.0,0.0,4.3429198583464165e+129,22,5
121,2023-06-26 19:57:51+00:00,6.676800531235448,45,12.9,10.137772121011121,0.0,0.0,4.3429198583464165e+129,22,7
122,2023-06-26 20:03:58+00:00,6.676800531235448,45,12.9,10.137772121011121,0.0,0.0,4.3429198583464165e+129,22,7
115,2023-06-26 20:07:52+00:00,6.676800531235448,45,12.9,10.137772121011121,0.0,0.0,4.3429198583464165e+129,22,5
114,2023-06-26 20:14:14+00:00,6.676800531235448,45,12.9,10.137772121011121,0.0,0.0,4.3429198583464165e+129,22,2
