available_bike_stands,surface_pressure,hour,temperature,day_of_week
11,988.7,18,13.0,3
10,988.7,19,11.8,3
11,989.0,20,11.9,3
12,989.8,21,10.2,3
10,989.9,22,10.1,3
9,990.3,23,11.0,3
8,990.3,0,11.1,4
9,990.2,1,11.4,4
9,990.2,2,10.8,4
9,990.0,3,10.6,4
9,989.9,4,10.1,4
9,989.6,5,10.5,4
10,989.9,6,10.5,4
10,989.9,7,11.8,4
9,990.6,8,13.5,4
12,990.3,9,15.5,4
15,989.8,10,16.7,4
15,987.2,13,18.6,4
14,986.1,14,19.2,4
12,985.4,15,18.7,4
16,985.1,16,18.2,4
16,984.5,17,17.0,4
4,984.7,18,13.4,4
7,984.7,19,11.8,4
10,984.3,20,10.8,4
13,983.9,21,10.2,4
13,983.4,22,9.5,4
14,983.4,23,8.0,4
14,982.7,0,7.8,5
13,982.1,1,7.7,5
13,981.4,2,6.9,5
13,980.3,3,6.1,5
13,979.9,4,6.8,5
13,979.9,5,6.3,5
12,979.6,7,8.4,5
11,978.5,8,10.8,5
12,977.7,9,14.2,5
13,976.6,10,17.1,5
13,975.7,11,17.5,5
15,975.0,12,19.1,5
16,974.3,14,19.7,5
14,973.5,15,19.1,5
11,973.2,16,17.9,5
13,973.9,17,16.4,5
12,977.0,18,8.8,5
12,977.5,19,7.0,5
11,979.9,20,6.8,5
11,980.2,21,6.2,5
11,979.4,22,6.0,5
11,979.7,23,5.9,5
11,979.5,0,4.6,6
11,979.9,1,3.5,6
11,979.3,2,3.7,6
11,978.9,3,3.8,6
11,979.0,4,3.9,6
11,978.4,5,4.9,6
12,979.0,6,4.8,6
12,978.8,7,5.9,6
12,979.1,8,7.7,6
12,978.6,9,9.7,6
13,977.7,10,10.9,6
13,977.1,11,11.7,6
13,976.2,12,12.5,6
13,975.3,13,12.9,6
11,974.8,14,12.7,6
12,974.9,15,12.0,6
11,975.5,16,8.7,6
16,976.8,17,5.4,6
11,976.9,19,4.7,6
10,977.2,20,4.3,6
12,977.1,21,3.6,6
12,976.7,22,3.2,6
11,977.0,23,3.3,6
11,977.1,0,2.8,0
11,977.1,1,2.3,0
11,976.9,2,3.1,0
11,977.3,3,3.4,0
12,977.2,4,3.4,0
13,978.3,6,4.3,0
15,978.4,7,6.7,0
16,978.3,8,9.1,0
15,978.2,9,10.8,0
15,978.2,10,12.0,0
16,977.8,11,12.5,0
16,976.7,13,13.8,0
12,976.1,14,14.0,0
9,975.7,15,13.8,0
14,975.4,16,13.4,0
15,975.4,17,11.9,0
16,975.6,18,9.7,0
11,975.9,19,7.6,0
11,976.0,20,7.4,0
12,975.9,21,7.1,0
12,975.8,22,6.4,0
13,976.2,23,5.8,0
11,976.2,0,4.3,1
10,975.9,1,4.5,1
10,975.1,2,3.8,1
9,974.5,3,2.9,1
9,974.1,4,3.1,1
9,973.8,5,3.1,1
9,973.9,6,4.0,1
11,973.8,7,6.7,1
11,973.1,9,13.9,1
14,972.8,10,14.6,1
16,972.0,11,15.2,1
16,971.5,12,15.3,1
15,970.9,13,15.9,1
16,970.4,14,15.3,1
15,970.3,15,14.7,1
11,970.4,16,13.5,1
10,970.5,17,12.3,1
13,970.4,18,11.4,1
12,970.0,19,11.0,1
10,969.3,21,10.3,1
10,969.1,22,10.0,1
12,969.2,23,10.1,1
11,968.6,0,10.0,2
10,968.5,1,9.7,2
10,967.9,2,9.4,2
9,967.6,3,9.7,2
3,967.0,4,9.1,2
4,967.0,5,8.8,2
7,966.7,6,8.9,2
6,966.5,7,10.0,2
6,966.9,8,11.7,2
5,966.5,9,13.0,2
15,965.4,11,16.7,2
16,964.3,12,17.5,2
15,963.4,13,18.1,2
14,962.8,14,17.8,2
6,962.2,16,16.7,2
6,961.6,17,15.1,2
4,961.3,18,14.3,2
7,961.1,19,13.5,2
6,960.6,20,13.9,2
6,960.8,21,12.9,2
6,961.0,22,11.9,2
6,962.0,23,11.8,2
6,961.4,0,12.2,3
6,960.8,1,11.5,3
6,962.2,2,11.0,3
6,963.4,3,10.6,3
6,963.9,4,10.1,3
3,965.4,6,10.4,3
11,966.4,7,11.8,3
11,966.9,8,13.4,3
12,967.8,9,14.6,3
13,968.5,10,15.9,3
15,969.9,11,15.6,3
15,969.8,12,15.2,3
16,970.0,13,14.4,3
15,970.2,14,12.1,3
16,969.4,15,12.2,3
4,969.1,16,11.7,3
5,969.3,17,10.6,3
8,969.5,18,9.9,3
10,971.8,20,10.0,3
11,975.0,21,9.9,3
11,977.1,22,8.5,3
11,977.1,23,7.4,3
11,978.4,0,6.5,4
11,979.0,1,6.1,4
10,979.3,2,5.8,4
10,979.7,3,5.3,4
10,979.7,4,5.1,4
9,980.1,5,4.9,4
10,980.3,6,5.4,4
8,980.3,7,7.3,4
11,980.2,8,11.5,4
13,980.1,9,15.2,4
15,979.9,10,18.5,4
14,979.8,11,18.7,4
15,979.7,12,18.7,4
15,979.8,13,18.8,4
14,979.4,14,17.8,4
15,979.6,15,17.7,4
16,979.3,16,17.4,4
11,978.4,17,16.2,4
9,978.4,18,16.1,4
13,978.7,19,16.5,4
15,979.1,20,16.9,4
14,980.2,21,16.7,4
13,980.2,22,14.8,4
14,980.5,23,14.7,4
13,980.4,0,14.0,5
13,980.3,1,12.1,5
12,980.2,2,11.7,5
13,979.7,5,10.6,5
13,979.5,6,10.7,5
13,979.5,7,12.7,5
14,979.9,8,14.8,5
15,979.4,9,18.5,5
15,978.9,10,21.5,5
15,978.6,11,21.5,5
15,977.9,12,22.0,5
15,977.3,13,22.6,5
11,976.4,14,22.2,5
6,976.2,15,22.1,5
6,975.5,16,21.6,5
8,975.4,17,20.1,5
11,976.3,19,17.1,5
14,975.7,20,14.8,5
15,975.7,20,14.8,5
15,976.1,21,13.8,5
