available_bike_stands,surface_pressure,dew_point,day_of_week,apparent_temperature
10,989.9,4.4,2,11.6
16,989.6,4.6,2,11.5
18,989.5,5.1,2,11.2
20,989.5,4.0,2,9.8
19,989.8,4.2,2,8.5
15,990.1,4.4,2,8.3
20,990.2,3.7,2,7.1
20,990.4,3.5,2,6.9
20,990.4,3.6,2,6.0
20,990.4,3.9,2,4.9
19,989.8,3.7,3,5.1
19,990.2,3.1,3,3.2
19,990.0,2.8,3,3.5
19,989.6,2.5,3,3.0
19,989.4,2.9,3,1.0
19,989.4,2.5,3,0.6
9,989.6,2.8,3,3.2
11,989.5,4.1,3,7.4
15,989.4,5.0,3,10.8
10,989.1,5.0,3,13.7
18,989.3,5.1,3,14.9
18,988.8,5.8,3,16.4
12,988.3,6.7,3,16.0
12,988.0,6.1,3,15.6
20,987.8,7.1,3,15.0
20,987.5,7.9,3,15.0
18,988.1,8.3,3,13.5
20,988.7,8.8,3,12.0
20,988.7,7.7,3,10.8
19,989.0,6.4,3,10.0
18,989.8,6.2,3,8.4
18,989.9,5.4,3,8.1
19,990.3,6.1,3,9.5
18,990.3,5.2,4,9.0
18,990.2,5.7,4,9.2
18,990.2,5.4,4,8.7
18,990.0,5.3,4,8.4
18,989.9,4.8,4,7.7
17,989.6,5.0,4,8.1
15,989.9,5.1,4,8.0
12,989.9,5.6,4,9.7
11,990.6,5.9,4,11.6
11,990.3,4.2,4,13.5
8,989.8,4.1,4,14.8
14,987.2,3.6,4,16.0
11,986.1,1.2,4,15.9
15,985.4,1.7,4,15.7
13,985.1,0.8,4,15.5
15,984.5,4.9,4,15.1
15,984.7,6.2,4,12.0
11,984.7,4.5,4,10.3
15,984.3,4.0,4,9.1
13,983.9,3.3,4,8.5
14,983.4,3.0,4,7.7
14,983.4,3.0,4,6.2
14,982.7,2.8,5,6.0
15,982.1,3.7,5,6.0
15,981.4,4.3,5,5.0
15,980.3,4.9,5,4.6
15,979.9,5.1,5,5.5
15,979.9,5.0,5,4.7
16,979.6,5.5,5,7.0
17,978.5,5.6,5,9.3
18,977.7,5.5,5,12.8
18,976.6,6.0,5,15.7
16,975.7,6.1,5,15.8
19,975.0,5.5,5,17.6
20,974.3,3.4,5,15.7
19,973.5,4.4,5,15.9
20,973.2,4.1,5,15.1
20,973.9,4.8,5,13.4
18,977.0,2.8,5,3.5
