available_bike_stands,surface_pressure,day_of_week,weekend,temperature
2,982.7,5,1,7.8
2,982.1,5,1,7.7
2,981.4,5,1,6.9
2,980.3,5,1,6.1
2,979.9,5,1,6.8
0,979.9,5,1,6.3
3,979.6,5,1,8.4
2,978.5,5,1,10.8
1,977.7,5,1,14.2
0,976.6,5,1,17.1
1,975.7,5,1,17.5
1,975.0,5,1,19.1
6,974.3,5,1,19.7
5,973.5,5,1,19.1
11,973.2,5,1,17.9
1,973.9,5,1,16.4
0,977.0,5,1,8.8
0,977.5,5,1,7.0
0,979.9,5,1,6.8
0,980.2,5,1,6.2
0,979.4,5,1,6.0
0,979.7,5,1,5.9
0,979.5,6,1,4.6
0,979.9,6,1,3.5
0,979.3,6,1,3.7
0,978.9,6,1,3.8
0,979.0,6,1,3.9
0,978.4,6,1,4.9
0,979.0,6,1,4.8
0,978.8,6,1,5.9
0,979.1,6,1,7.7
0,978.6,6,1,9.7
0,977.7,6,1,10.9
1,977.1,6,1,11.7
0,976.2,6,1,12.5
1,975.3,6,1,12.9
0,974.8,6,1,12.7
2,974.9,6,1,12.0
0,975.5,6,1,8.7
2,976.8,6,1,5.4
4,976.9,6,1,4.7
5,977.2,6,1,4.3
5,977.1,6,1,3.6
6,976.7,6,1,3.2
6,977.0,6,1,3.3
6,977.1,0,0,2.8
6,977.1,0,0,2.3
6,976.9,0,0,3.1
6,977.3,0,0,3.4
6,977.2,0,0,3.4
8,978.3,0,0,4.3
12,978.4,0,0,6.7
7,978.3,0,0,9.1
6,978.2,0,0,10.8
9,978.2,0,0,12.0
11,977.8,0,0,12.5
7,976.7,0,0,13.8
5,976.1,0,0,14.0
3,975.7,0,0,13.8
4,975.4,0,0,13.4
10,975.4,0,0,11.9
11,975.6,0,0,9.7
8,975.9,0,0,7.6
7,976.0,0,0,7.4
8,975.9,0,0,7.1
8,975.8,0,0,6.4
8,976.2,0,0,5.8
8,976.2,1,0,4.3
8,975.9,1,0,4.5
8,975.1,1,0,3.8
8,974.5,1,0,2.9
8,974.1,1,0,3.1
8,973.8,1,0,3.1
8,973.9,1,0,4.0
11,973.8,1,0,6.7
18,973.1,1,0,13.9
18,972.8,1,0,14.6
18,972.0,1,0,15.2
14,971.5,1,0,15.3
8,970.9,1,0,15.9
3,970.4,1,0,15.3
1,970.3,1,0,14.7
2,970.4,1,0,13.5
5,970.5,1,0,12.3
5,970.4,1,0,11.4
5,970.0,1,0,11.0
5,969.3,1,0,10.3
5,969.1,1,0,10.0
5,969.2,1,0,10.1
6,968.6,2,0,10.0
6,968.5,2,0,9.7
6,967.9,2,0,9.4
6,967.6,2,0,9.7
7,967.0,2,0,9.1
7,967.0,2,0,8.8
7,966.7,2,0,8.9
7,966.5,2,0,10.0
10,966.9,2,0,11.7
15,966.5,2,0,13.0
16,965.4,2,0,16.7
17,964.3,2,0,17.5
12,963.4,2,0,18.1
7,962.8,2,0,17.8
2,962.2,2,0,16.7
1,961.6,2,0,15.1
8,961.3,2,0,14.3
8,961.1,2,0,13.5
10,960.6,2,0,13.9
10,960.8,2,0,12.9
9,961.0,2,0,11.9
9,962.0,2,0,11.8
9,961.4,3,0,12.2
9,960.8,3,0,11.5
9,962.2,3,0,11.0
9,963.4,3,0,10.6
9,963.9,3,0,10.1
9,965.4,3,0,10.4
13,966.4,3,0,11.8
15,966.9,3,0,13.4
16,967.8,3,0,14.6
15,968.5,3,0,15.9
13,969.9,3,0,15.6
17,969.8,3,0,15.2
9,970.0,3,0,14.4
9,970.2,3,0,12.1
10,969.4,3,0,12.2
11,969.1,3,0,11.7
12,969.3,3,0,10.6
12,969.5,3,0,9.9
13,971.8,3,0,10.0
13,975.0,3,0,9.9
13,977.1,3,0,8.5
13,977.1,3,0,7.4
13,978.4,4,0,6.5
13,979.0,4,0,6.1
13,979.3,4,0,5.8
13,979.7,4,0,5.3
13,979.7,4,0,5.1
13,980.1,4,0,4.9
14,980.3,4,0,5.4
16,980.3,4,0,7.3
16,980.2,4,0,11.5
16,980.1,4,0,15.2
16,979.9,4,0,18.5
17,979.8,4,0,18.7
20,979.7,4,0,18.7
19,979.8,4,0,18.8
15,979.4,4,0,17.8
16,979.6,4,0,17.7
17,979.3,4,0,17.4
17,978.4,4,0,16.2
18,978.4,4,0,16.1
19,978.7,4,0,16.5
18,979.1,4,0,16.9
19,980.2,4,0,16.7
19,980.2,4,0,14.8
18,980.5,4,0,14.7
19,980.4,5,1,14.0
19,980.3,5,1,12.1
19,980.2,5,1,11.7
20,979.7,5,1,10.6
20,979.5,5,1,10.7
20,979.5,5,1,12.7
20,979.9,5,1,14.8
20,979.4,5,1,18.5
19,978.9,5,1,21.5
17,978.6,5,1,21.5
14,977.9,5,1,22.0
16,977.3,5,1,22.6
17,976.4,5,1,22.2
20,976.2,5,1,22.1
19,975.5,5,1,21.6
19,975.4,5,1,20.1
17,976.3,5,1,17.1
20,975.7,5,1,14.8
19,975.7,5,1,14.8
